top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,val_bal_acc,objective,num_selected_features,candidate_note,dataset,repeat,split,split_id,split_seed,split_policy,ablation
4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8375,0.6725087108013937,0.8375,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8375,0.6725087108013937,0.8375,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8375,0.6725087108013937,0.8375,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8375,0.6136933797909407,0.8375,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,no_p3,"[0.05, 0.5, 5.0]",1.0,0.85,0.6536933797909408,0.85,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,no_p3,"[0.05, 0.5, 5.0]",1.0,0.85,0.6536933797909408,0.85,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.99,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.85,0.6773867595818815,0.85,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.99,"(0.01, 0.1, 1.0)",0.5,no_p3,"[0.01, 0.1, 1.0]",1.0,0.85,0.6773867595818815,0.85,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.99,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",1.0,0.85,0.6773867595818815,0.85,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.99,"(0.05, 0.5, 5.0)",0.4,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8375,0.6136933797909407,0.8375,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.99,"(0.05, 0.5, 5.0)",0.5,no_p3,"[0.05, 0.5, 5.0]",1.0,0.85,0.6536933797909408,0.85,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,64,0.99,"(0.05, 0.5, 5.0)",0.6,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8375,0.6251219512195122,0.8375,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.95,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8375,0.6725087108013937,0.8375,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.95,"(0.01, 0.1, 1.0)",0.5,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8375,0.6725087108013937,0.8375,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.95,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8375,0.6725087108013937,0.8375,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.95,"(0.05, 0.5, 5.0)",0.4,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8375,0.6136933797909407,0.8375,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.95,"(0.05, 0.5, 5.0)",0.5,no_p3,"[0.05, 0.5, 5.0]",1.0,0.85,0.6536933797909408,0.85,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.95,"(0.05, 0.5, 5.0)",0.6,no_p3,"[0.05, 0.5, 5.0]",1.0,0.85,0.6536933797909408,0.85,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.99,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.85,0.6773867595818815,0.85,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.99,"(0.01, 0.1, 1.0)",0.5,no_p3,"[0.01, 0.1, 1.0]",1.0,0.85,0.6773867595818815,0.85,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.99,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",1.0,0.85,0.6773867595818815,0.85,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
4000,96,0.99,"(0.05, 0.5, 5.0)",0.4,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8375,0.6136933797909407,0.8375,4000,test_not_evaluated_for_candidates,wisconsin,2,2,,20260421,random_stratified_matching_fixed_split0_class_counts,no_p3
