experiment,dataset,repeat,split,split_id,split_seed,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,val_bal_acc,num_features_after_variant,test_acc,pca_dims_json,retained_variance_json,time_sec,selection_rule
E05,amazon-computers,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8333333333333334,0.8333333333333334,6136,0.7439631753697555,"{""0"": 17, ""1"": 17, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 17, ""6"": 16, ""7"": 16, ""8"": 17, ""9"": 17}","{""0"": 0.9505115603177358, ""1"": 0.9656926964829738, ""2"": 0.9552891969962175, ""3"": 0.9654566525709305, ""4"": 0.951740919845808, ""5"": 0.9615382933700589, ""6"": 0.9547632633516043, ""7"": 0.9555547439465584, ""8"": 0.9664757637246162, ""9"": 0.9538917419135318}",812.607591,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym,src_v16c_ablation,200,300,13252,6000,64,0.95,"(0.05, 0.5, 5.0)",0.5,no_sym,"[0.05, 0.5, 5.0]",1.0,0.7933333333333333,0.7933333333333333,4602,0.7084968306670691,"{""0"": 18, ""1"": 17, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 17, ""8"": 17, ""9"": 17}","{""0"": 0.9768361961033579, ""1"": 0.9573108962084044, ""2"": 0.9579725368996956, ""3"": 0.9598784045051514, ""4"": 0.9607935965786989, ""5"": 0.9554883439872895, ""6"": 0.9642468468790679, ""7"": 0.9682988954417051, ""8"": 0.9627398156632214, ""9"": 0.9565102906638595}",699.722230297004,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_highpass,src_v16c_ablation,200,300,13252,6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_highpass,"[0.01, 0.1, 1.0]",1.0,0.8533333333333334,0.8533333333333333,4602,0.7779203139148808,"{""0"": 16, ""1"": 15, ""2"": 17, ""3"": 15, ""4"": 17, ""5"": 16, ""6"": 15, ""7"": 14, ""8"": 15, ""9"": 17}","{""0"": 0.9510010964728632, ""1"": 0.9545219355034316, ""2"": 0.9671976368386402, ""3"": 0.9509146932828535, ""4"": 0.9727542785349205, ""5"": 0.9627157937085696, ""6"": 0.9694477479146567, ""7"": 0.9558905336320416, ""8"": 0.9633410307507494, ""9"": 0.9691968165536445}",673.5333917680036,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,pca_only,src_v16c_ablation,200,300,13252,4000,64,0.99,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",1.0,0.8533333333333334,0.8533333333333333,6903,0.7644129188047087,"{""0"": 19, ""1"": 19, ""2"": 19, ""3"": 19, ""4"": 19, ""5"": 19, ""6"": 19, ""7"": 18, ""8"": 19, ""9"": 19}","{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 0.9929603420585864, ""8"": 1.0, ""9"": 1.0}",222.8825001610021,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,ridge_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",1.0,0.8533333333333334,0.8533333333333333,6903,0.7784485360700272,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 16, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 16, ""8"": 16, ""9"": 17}","{""0"": 0.9606484978679573, ""1"": 0.9609432686331659, ""2"": 0.9545084563187276, ""3"": 0.9621239637190309, ""4"": 0.9602674202663043, ""5"": 0.953713442692128, ""6"": 0.95474873140725, ""7"": 0.9677338609469996, ""8"": 0.9553549046056281, ""9"": 0.9607372982160847}",228.58542937199672,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,single_alpha,src_v16c_ablation,200,300,13252,4000,64,0.95,"(1.0,)",0.5,full,[1.0],0.995,0.86,0.86,6903,0.7727135526712949,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 16, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 16, ""8"": 16, ""9"": 17}","{""0"": 0.9606484978679573, ""1"": 0.9609432686331659, ""2"": 0.9545084563187276, ""3"": 0.9621239637190309, ""4"": 0.9602674202663043, ""5"": 0.953713442692128, ""6"": 0.95474873140725, ""7"": 0.9677338609469996, ""8"": 0.9553549046056281, ""9"": 0.9607372982160847}",353.96844150700053,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,fixed_dim64_energy095,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.8533333333333334,0.8533333333333333,6903,0.7761847268336854,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 16, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 16, ""8"": 16, ""9"": 17}","{""0"": 0.9606484978679573, ""1"": 0.9609432686331659, ""2"": 0.9545084563187276, ""3"": 0.9621239637190309, ""4"": 0.9602674202663043, ""5"": 0.953713442692128, ""6"": 0.95474873140725, ""7"": 0.9677338609469996, ""8"": 0.9553549046056281, ""9"": 0.9607372982160847}",176.94013116099813,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,raw_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,raw_only,"[0.01, 0.1, 1.0]",0.995,0.7466666666666667,0.7466666666666667,767,0.6283579837005735,"{""0"": 16, ""1"": 16, ""2"": 17, ""3"": 16, ""4"": 17, ""5"": 17, ""6"": 14, ""7"": 13, ""8"": 15, ""9"": 17}","{""0"": 0.9683762196808698, ""1"": 0.9613220774905561, ""2"": 0.972145014851669, ""3"": 0.9500907584888006, ""4"": 0.9722382829560927, ""5"": 0.9673144522616618, ""6"": 0.9621255939565747, ""7"": 0.9538311230726625, ""8"": 0.9535714385235076, ""9"": 0.9645656444122731}",146.65055050900264,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,row_lowpass_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,row_lowpass_only,"[0.05, 0.5, 5.0]",0.99,0.8533333333333334,0.8533333333333333,3068,0.7655448234228796,"{""0"": 16, ""1"": 15, ""2"": 17, ""3"": 16, ""4"": 17, ""5"": 16, ""6"": 14, ""7"": 14, ""8"": 15, ""9"": 17}","{""0"": 0.9551315784305305, ""1"": 0.9516013128595092, ""2"": 0.9691042001474073, ""3"": 0.9624112703121065, ""4"": 0.9715927128796549, ""5"": 0.9575702486924346, ""6"": 0.9540981910842098, ""7"": 0.9618018238330526, ""8"": 0.9613563332675306, ""9"": 0.9672334091717251}",451.12014833399735,ablation_grid_selected_by_val_only_test_once_after_selection_no_full

