dataset,method,n,val_mean,val_std,test_mean,test_std,time_mean
chameleon,gat,10,0.5898491144180298,0.010121595988627378,0.5846491098403931,0.011705047507163203,57.3941
chameleon,gcnii,10,0.41440328657627107,0.015335858169587874,0.4074561446905136,0.02308830586069173,60.372299999999996
chameleon,graphsage,10,0.6039780497550964,0.019335119461474398,0.6028508841991425,0.009097870711210744,28.119600000000002
chameleon,linkx,10,0.7255143880844116,0.01589813376970192,0.7124999940395356,0.014853749737580968,4.5922
chameleon,mlp_prop,10,0.4685871034860611,0.012707858965128728,0.46184211075305937,0.019318167831496248,16.9095
chameleon,sign,10,0.5694101572036743,0.02282988567211514,0.5686403512954712,0.01781736628809164,11.020999999999999
cornell,appnp,10,0.47118644416332245,0.06817222284584949,0.4270270258188248,0.05810635523973291,0.9188000000000001
cornell,correct_smooth,10,0.6084745824337006,0.0828218593776798,0.5594594538211822,0.12157155726981339,1.4677
cornell,gat,10,0.5101694911718369,0.09229985333194388,0.4432432413101196,0.06521426792027119,1.7628
cornell,gcnii,10,0.47118644416332245,0.06817222284584949,0.4270270258188248,0.05810635523973291,1.6573999999999998
cornell,graphsage,10,0.7474576294422149,0.06561946983680207,0.7027026951313019,0.05697798273609989,0.9846999999999999
cornell,linkx,10,0.6457627236843109,0.061084911372271546,0.6243243217468262,0.06299867610972766,0.40170000000000006
cornell,mlp_prop,10,0.47118644416332245,0.06817222284584949,0.4270270258188248,0.05810635523973291,0.3991
cornell,sign,10,0.7203389942646027,0.06045461011297118,0.6783783733844757,0.044954862973217206,0.6915
squirrel,appnp,10,0.20492788702249523,0.014758604994003222,0.20249759703874587,0.013385945525713035,36.9659
squirrel,correct_smooth,10,0.36370192468166346,0.015896923493340806,0.3529298782348632,0.014910683440089698,41.5452
squirrel,gat,10,0.3203124970197678,0.022371416873755566,0.30989433228969576,0.026327777072546476,150.6513
squirrel,gcnii,10,0.2987379759550094,0.009613091185304564,0.29654178619384763,0.013171678565979353,186.2424
squirrel,graphsage,10,0.3935096234083176,0.008582513027182982,0.38655139505863184,0.015675009130718995,252.2837
squirrel,linkx,10,0.6314903736114502,0.011802940830449048,0.6221902012825012,0.020201109216895434,24.4588
squirrel,mlp_prop,10,0.20204327106475825,0.007885606712145077,0.19836695343255994,0.008642565904945549,15.752
squirrel,sign,10,0.3786658644676208,0.011248140705209695,0.3666666656732559,0.022235464946392544,21.075200000000002
texas,appnp,10,0.554237288236618,0.05652542425337075,0.5891891896724701,0.04558236843974004,0.8920999999999999
texas,correct_smooth,10,0.6186440706253051,0.10904101735818664,0.591891884803772,0.0642740809714256,1.4091
texas,gat,10,0.5813559293746948,0.04928550394992423,0.5783783853054046,0.042638401709646084,1.7256
texas,gcnii,10,0.554237288236618,0.05652542425337075,0.5891891896724701,0.04558236843974004,1.7198
texas,graphsage,10,0.8220339000225068,0.061501520567847294,0.783783781528473,0.07956540177959719,0.8028000000000001
texas,linkx,10,0.6542372882366181,0.05251503129969506,0.5945945918560028,0.08354611205089996,0.38370000000000004
texas,mlp_prop,10,0.554237288236618,0.05652542425337075,0.5891891896724701,0.04558236843974004,0.4077
texas,sign,10,0.7864406764507293,0.057171110258537904,0.7243243217468261,0.0671760384838556,0.8863
wisconsin,appnp,10,0.5037500023841858,0.07638763002360331,0.5196078568696976,0.10749598297262271,2.0251
wisconsin,correct_smooth,10,0.6787500023841858,0.033875801900408176,0.6705882549285889,0.03788595001944072,1.8471
wisconsin,gat,10,0.6050000011920929,0.026483757389444664,0.6039215892553329,0.07147829180284518,2.8762
wisconsin,gcnii,10,0.47249999940395354,0.047434167834538396,0.48823530972003937,0.07304489084069318,2.1820999999999997
wisconsin,graphsage,10,0.8212499976158142,0.04126892638226175,0.8196078538894653,0.03175152177149078,1.3018
wisconsin,linkx,10,0.6650000035762786,0.04851975453948028,0.6568627655506134,0.04456921857544732,0.4082
wisconsin,mlp_prop,10,0.5199999958276749,0.08543191300760837,0.5372549206018448,0.08531853805419816,0.7795
wisconsin,sign,10,0.7887500047683715,0.03356689582356644,0.7745098173618317,0.03838999811854476,0.9267

