top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,val_bal_acc,objective,num_selected_features,candidate_note,dataset,repeat,split,split_id,split_seed,split_policy,ablation
4000,96,0.99,"(0.05, 0.5, 5.0)",0.5,no_p3,"[0.05, 0.5, 5.0]",1.0,0.9041666666666667,0.9041666666666667,0.9041666666666667,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
4000,96,0.99,"(0.05, 0.5, 5.0)",0.6,no_p3,"[0.05, 0.5, 5.0]",1.0,0.9083333333333333,0.9083333333333334,0.9083333333333333,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,64,0.95,"(0.01, 0.1, 1.0)",0.5,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8625,0.8625,0.8625,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,64,0.95,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8625,0.8625,0.8625,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,64,0.95,"(0.05, 0.5, 5.0)",0.4,no_p3,"[0.05, 0.5, 5.0]",1.0,0.875,0.875,0.875,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,64,0.95,"(0.05, 0.5, 5.0)",0.5,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8791666666666667,0.8791666666666667,0.8791666666666667,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,64,0.95,"(0.05, 0.5, 5.0)",0.6,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8791666666666667,0.8791666666666667,0.8791666666666667,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,64,0.99,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,64,0.99,"(0.01, 0.1, 1.0)",0.5,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8583333333333333,0.8583333333333334,0.8583333333333333,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,64,0.99,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8541666666666666,0.8541666666666667,0.8541666666666666,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,64,0.99,"(0.05, 0.5, 5.0)",0.4,no_p3,"[0.05, 0.5, 5.0]",1.0,0.875,0.875,0.875,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,64,0.99,"(0.05, 0.5, 5.0)",0.5,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8791666666666667,0.8791666666666667,0.8791666666666667,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,64,0.99,"(0.05, 0.5, 5.0)",0.6,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8708333333333333,0.8708333333333333,0.8708333333333333,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,96,0.95,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,96,0.95,"(0.01, 0.1, 1.0)",0.5,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8625,0.8625,0.8625,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,96,0.95,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8625,0.8625,0.8625,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,96,0.95,"(0.05, 0.5, 5.0)",0.4,no_p3,"[0.05, 0.5, 5.0]",1.0,0.875,0.875,0.875,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,96,0.95,"(0.05, 0.5, 5.0)",0.5,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8791666666666667,0.8791666666666667,0.8791666666666667,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,96,0.95,"(0.05, 0.5, 5.0)",0.6,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8791666666666667,0.8791666666666667,0.8791666666666667,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,96,0.99,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,96,0.99,"(0.01, 0.1, 1.0)",0.5,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8583333333333333,0.8583333333333334,0.8583333333333333,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,96,0.99,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8541666666666666,0.8541666666666667,0.8541666666666666,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,96,0.99,"(0.05, 0.5, 5.0)",0.4,no_p3,"[0.05, 0.5, 5.0]",1.0,0.875,0.875,0.875,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,96,0.99,"(0.05, 0.5, 5.0)",0.5,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8791666666666667,0.8791666666666667,0.8791666666666667,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
6000,96,0.99,"(0.05, 0.5, 5.0)",0.6,no_p3,"[0.05, 0.5, 5.0]",1.0,0.8708333333333333,0.8708333333333333,0.8708333333333333,5960,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_p3
4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8916666666666667,0.8916666666666666,0.8916666666666667,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8916666666666667,0.8916666666666666,0.8916666666666667,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8916666666666667,0.8916666666666666,0.8916666666666667,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,no_sym,"[0.05, 0.5, 5.0]",1.0,0.8958333333333334,0.8958333333333334,0.8958333333333334,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,no_sym,"[0.05, 0.5, 5.0]",1.0,0.8833333333333333,0.8833333333333333,0.8833333333333333,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,no_sym,"[0.05, 0.5, 5.0]",1.0,0.8708333333333333,0.8708333333333333,0.8708333333333333,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,64,0.99,"(0.01, 0.1, 1.0)",0.4,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8875,0.8875,0.8875,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,64,0.99,"(0.01, 0.1, 1.0)",0.5,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8916666666666667,0.8916666666666666,0.8916666666666667,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,64,0.99,"(0.01, 0.1, 1.0)",0.6,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8875,0.8875,0.8875,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,64,0.99,"(0.05, 0.5, 5.0)",0.4,no_sym,"[0.05, 0.5, 5.0]",1.0,0.8916666666666667,0.8916666666666667,0.8916666666666667,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,64,0.99,"(0.05, 0.5, 5.0)",0.5,no_sym,"[0.05, 0.5, 5.0]",1.0,0.875,0.875,0.875,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,64,0.99,"(0.05, 0.5, 5.0)",0.6,no_sym,"[0.05, 0.5, 5.0]",1.0,0.875,0.875,0.875,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,96,0.95,"(0.01, 0.1, 1.0)",0.4,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8916666666666667,0.8916666666666666,0.8916666666666667,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,96,0.95,"(0.01, 0.1, 1.0)",0.5,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8916666666666667,0.8916666666666666,0.8916666666666667,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,96,0.95,"(0.01, 0.1, 1.0)",0.6,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8916666666666667,0.8916666666666666,0.8916666666666667,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,96,0.95,"(0.05, 0.5, 5.0)",0.4,no_sym,"[0.05, 0.5, 5.0]",1.0,0.8958333333333334,0.8958333333333334,0.8958333333333334,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,96,0.95,"(0.05, 0.5, 5.0)",0.5,no_sym,"[0.05, 0.5, 5.0]",1.0,0.8833333333333333,0.8833333333333333,0.8833333333333333,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,96,0.95,"(0.05, 0.5, 5.0)",0.6,no_sym,"[0.05, 0.5, 5.0]",1.0,0.8708333333333333,0.8708333333333333,0.8708333333333333,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,96,0.99,"(0.01, 0.1, 1.0)",0.4,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8875,0.8875,0.8875,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,96,0.99,"(0.01, 0.1, 1.0)",0.5,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8916666666666667,0.8916666666666666,0.8916666666666667,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,96,0.99,"(0.01, 0.1, 1.0)",0.6,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8875,0.8875,0.8875,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,96,0.99,"(0.05, 0.5, 5.0)",0.4,no_sym,"[0.05, 0.5, 5.0]",1.0,0.8916666666666667,0.8916666666666667,0.8916666666666667,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,96,0.99,"(0.05, 0.5, 5.0)",0.5,no_sym,"[0.05, 0.5, 5.0]",1.0,0.875,0.875,0.875,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
4000,96,0.99,"(0.05, 0.5, 5.0)",0.6,no_sym,"[0.05, 0.5, 5.0]",1.0,0.875,0.875,0.875,4000,test_not_evaluated_for_candidates,amazon-photo,0,0,,20260419,class_balanced_random_20_train_30_val_per_class,no_sym
